dataset cartas;carta1;carta2;carta3;energy;Pd;Pn
;24625;26066;66.32;;26066;5989
;25135;26930;54.8;;26930;5933
;23737;25424;55.8;;25424;5996
;24227;26046;55.61;;26046;5990
;26790;29327;57.98;;29327;6003
;22029;24739;55.91;;24739;7096
;26000;29939;59.58;;29939;7106
;23455;25830;65.01;;25830;6870
;20900;25379;59.8;;25379;7091
;22719;25332;56.37;;25332;4045
;22212;26704;54.75;;26704;4609
;27142;28065;59.13;;28065;5953
;25380;25749;55.52;;25749;6685
;20885;23767;53.55;;23767;6906
;22608;24433;67.42;;24433;4885
;22063;22347;56.06;;22347;5042
;21724;26318;58.11;;26318;6090
;24718;27443;57.27;;27443;6279
;26848;28548;55.15;;28548;6735
;26999;28917;55.29;;28917;6852
;27326;28235;57.93;;28235;6847
;27585;28045;56.52;;28045;6866
;26897;26991;69.04;;26991;6606
;24387;25214;63.03;;25214;6545
;25026;26780;58.66;;26780;6854
;27403;28014;59.09;;28014;6876
;27443;27893;58.94;;27893;6839
;27259;29366;56.53;;29366;6780
;27306;27541;56.59;;27541;6849
;26608;28947;52.4;;28947;6851
;23837;24940;55.87;;24940;6884
;24766;26376;53.18;;26376;6863
;26786;26765;56.63;;26765;6866
;27168;28887;59.12;;28887;6807
;27116;30001;56.73;;30001;6771
;25867;28367;53.9;;28367;6776
;24481;27343;52.5;;27343;7101
;24483;28334;52.69;;28334;7049
;21490;24866;54.52;;24866;6937
;22528;28746;54.9;;28746;7093
;22967;30107;57.29;;30107;4135
;22685;24655;61.45;;24655;5002
;27412;28831;57.81;;28831;5934
;25368;26438;54.42;;26438;6683
;22524;24401;55.01;;24401;6911
;22233;23507;56.21;;23507;4901
;20229;23734;55.69;;23734;5037
;21860;25362;55.94;;25362;6090
;24801;26201;54.78;;26201;6582
;23674;26597;49.37;;26597;6608
;22967;23665;56.98;;23665;6623
;21312;22938;57.73;;22938;6613
;21627;23474;56.51;;23474;6621
;22776;24508;53.49;;24508;6616
;22658;26083;50.91;;26083;6664
;23299;25247;52.34;;25247;6671
;24088;25836;56.43;;25836;6680
;24028;25190;56.85;;25190;6671
;22066;25211;50.96;;25211;6682
;22218;28792;37.73;;28792;6699
;23484;24827;56.15;;24827;6715
;23040;25250;51.07;;25250;6735
;24183;25431;56.34;;25431;6724
;24388;25451;56.73;;25451;6718
;24765;26021;55.78;;26021;6734
;23306;25713;52;;25713;6738
;23338;25583;55.23;;25583;6796
;24653;27492;55.42;;27492;7107
;24142;32214;53.13;;32214;6701
;21519;25900;50.35;;25900;6974
;22784;24132;50.3;;24132;7096
;22784;24422;52.94;;24422;4784
;24207;26226;55.22;;26226;4984
;27412;30934;54.85;;30934;5891
;22740;28059;60.14;;28059;6713
;22690;24469;63.47;;24469;6915
;22222;22359;61.06;;22359;4946
;20254;20010;63.56;;20010;5040
;21857;23826;53.32;;23826;6089
;21144;23870;50.85;;23870;6886
;21283;26295;43.07;;26295;6906
;22698;24177;56.86;;24177;6929
;23148;28722;25.22;;28722;6898
;23044;28511;42.06;;28511;6902
;22455;23771;55.97;;23771;6924
;22298;24750;51.11;;24750;6912
;20642;23999;50.45;;23999;6924
;20990;22462;58.11;;22462;6921
;22814;23969;53.96;;23969;6913
;23053;25382;47.52;;25382;6920
;23117;24951;52.42;;24951;6911
;22860;24173;55.83;;24173;6925
;22779;23142;56.04;;23142;6914
;21051;22516;54.19;;22516;5988
;20903;23337;51.23;;23337;5997
;22644;23625;53.13;;23625;6005
;22529;23844;52.82;;23844;6006
;24781;26668;56.61;;26668;7104
;26045;30664;60.07;;30664;6955
;23200;25818;54.5;;25818;6974
;22638;24621;50.19;;24621;7101
;21022;24503;36.62;;24503;5045
;24278;24639;35.62;;24639;5011
;27175;28792;58.94;;28792;5933
;22516;24617;53.79;;24617;6719
;23058;24927;53.99;;24927;6894
;21964;20421;56.72;;20421;4962
;21825;22108;51.81;;22108;5039
;23592;24720;50.23;;24720;6087
;20306;24220;47.11;;24220;5941
;21993;24369;47.56;;24369;5953
;21952;23906;48.51;;23906;5962
;22099;22037;59.75;;22037;5980
;22029;22141;54.5;;22141;4973
;20354;20837;51.43;;20837;4960
;20669;21778;53.38;;21778;4967
;22212;23656;49.17;;23656;4965
;22277;27670;48.38;;27670;5213
;22269;24457;49.44;;24457;5901
;22224;23054;55.13;;23054;5978
;21904;23690;51.7;;23690;5990
;20261;22339;50.14;;22339;5980
;20785;23264;49.57;;23264;5966
;22719;24085;46.94;;24085;5953
;22887;28595;42.17;;28595;5956
;22927;26718;49.23;;26718;5964
;23251;22644;50.96;;22644;5942
;23005;25408;43.98;;25408;5041
;24732;28761;49.82;;28761;7088
;27088;30347;38.25;;30347;7111
;24163;26622;45.52;;26622;7034
;24002;24064;50.05;;24064;6700
;22203;23459;49.48;;23459;5039
;25281;25761;54.27;;25761;5005
;28011;28978;57.32;;28978;5923
;25428;26416;49.83;;26416;6702
