dataset cartas;carta1;carta2;carta3;energy;Pd;Pn
;25372;24900;47.67;;24900;4039
;23088;24745;50.9;;24745;6016
;26986;26015;48.64;;26015;6627
;24997;24616;55.82;;24616;6845
;22402;22025;55.74;;22025;5974
;21626;23298;60.71;;23298;5019
;27291;29812;52.88;;29812;5049
;23767;33005;48.16;;33005;7104
;25379;25727;48.42;;25727;7110
;25220;25341;51.89;;25341;7112
;25094;25856;49.92;;25856;7112
;25694;24764;56.02;;24764;7108
;25678;24427;65.2;;24427;7108
;23594;25083;54.72;;25083;7105
;23065;24232;47.11;;24232;7102
;24899;25660;47.34;;25660;7102
;25218;23619;47.11;;23619;7107
;25077;23378;58.49;;23378;7104
;25179;23933;50.74;;23933;7093
;25573;25304;56.74;;25304;7105
;23381;22942;56.51;;22942;7107
;23186;25382;48.08;;25382;7100
;24636;31531;40.82;;31531;7096
;24766;25544;48.34;;25544;7104
;25618;29334;55.8;;29334;7107
;25225;24809;49.9;;24809;7106
;22318;22057;37.62;;22057;7096
;23547;22944;38.32;;22944;7008
;25481;23358;39.5;;23358;4020
;23707;24057;47.54;;24057;5991
;27451;25893;49.37;;25893;6872
;23412;20203;54.66;;20203;6869
;24541;23499;53.59;;23499;5960
;23587;22173;57.17;;22173;5021
;25529;31799;36.93;;31799;5227
;21972;30343;25.42;;30343;7090
;24446;29144;37.87;;29144;7099
;24214;25412;41.22;;25412;7106
;24324;24944;45.62;;24944;6794
;24447;22177;51.43;;22177;6797
;23945;22511;51.94;;22511;6793
;21989;21572;55.37;;21572;7092
;21897;19497;55.55;;19497;7102
;23470;24318;46.07;;24318;7102
;24666;25928;38.24;;25928;7103
;24968;24569;43.62;;24569;7105
;25344;22828;57.78;;22828;7109
;25431;23553;43.1;;23553;7107
;23658;22442;44.47;;22442;7109
;22143;26152;39.4;;26152;7110
;23968;22781;49.29;;22781;7105
;23858;22146;52.42;;22146;7103
;23562;22339;51.74;;22339;7106
;23581;23122;45.97;;23122;7102
;23946;26024;37.51;;26024;7107
;24102;27698;44.14;;27698;7048
;23922;30040;45.74;;30040;7105
;23387;21982;53.05;;21982;7088
;23438;23608;39.34;;23608;6984
;21879;23815;39.15;;23815;4649
;25318;25562;39.82;;25562;5983
;26676;25296;56.42;;25296;6876
;22650;21163;56.94;;21163;6851
;23714;24423;47.87;;24423;5960
;22563;20357;47.52;;20357;5019
;24226;28687;54.02;;28687;5700
;21802;21105;57.01;;21105;6174
;20223;21556;60.57;;21556;6461
;19912;22466;50.13;;22466;7016
;19487;22917;46.39;;22917;7032
;19503;18995;49.39;;18995;7079
;21040;21847;43.19;;21847;7066
;22903;28453;38.6;;28453;7052
;23066;27023;39.22;;27023;7073
;23158;23989;41.48;;23989;7088
;22879;22893;47.85;;22893;7090
;21264;20769;56.95;;20769;7090
;21249;19674;55.51;;19674;7086
;22736;20884;54.76;;20884;7084
;23402;24573;44.44;;24573;7080
;23485;25275;42.63;;25275;6463
;23446;28270;41.16;;28270;6193
;22978;21779;52.17;;21779;6478
;21249;26745;35.63;;26745;7005
;24080;29566;37.82;;29566;7103
;22473;32415;58.27;;32415;6735
;22392;24682;46.32;;24682;7108
;23175;25127;46.69;;25127;7087
;23590;24095;44.12;;24095;6961
;21621;24135;42.32;;24135;5025
;25738;26293;56.47;;26293;5973
;27200;24374;44.65;;24374;6855
;24905;22611;53.25;;22611;6833
;24071;24080;47.16;;24080;5957
;20553;25361;42.41;;25361;5019
;25920;27675;43.56;;27675;6043
;22852;22464;46.26;;22464;5079
;20778;19855;47.86;;19855;5082
;20971;19041;48.81;;19041;5079
;23230;22109;52.83;;22109;5070
;23620;22551;46.8;;22551;5063
;23399;20068;51.78;;20068;5061
;23142;21596;46.13;;21596;5061
;22825;20880;49.6;;20880;5055
;21189;25056;43.79;;25056;5007
;21619;23536;46.4;;23536;5071
;23198;24010;46.73;;24010;5068
;23826;23948;45.91;;23948;5061
;24141;24389;53.11;;24389;5063
;24463;23971;56.25;;23971;5060
;24032;23274;58.5;;23274;5060
;22072;22722;48.8;;22722;5053
;21794;21621;52.42;;21621;5051
;23571;22290;55.25;;22290;5050
;23453;23471;54.26;;23471;5053
;22472;26424;56.6;;26424;7100
;22921;31690;54.61;;31690;6991
;22075;28444;55.42;;28444;7103
;23122;28161;48.14;;28161;7075
;23172;25062;46.05;;25062;5976
;23638;24175;45;;24175;5185
;25840;26062;48.77;;26062;5963
;25122;26860;48.39;;26860;6878
;25173;23224;50;;23224;6808
;24375;25157;54.77;;25157;5952
;20894;23801;49.8;;23801;5030
;26087;26483;46.1;;26483;6050
;26096;25916;46.68;;25916;6028
;26542;25563;54.1;;25563;6031
;26830;25414;55.18;;25414;6021
;27093;28213;49.33;;28213;6015
;27085;26577;48.25;;26577;6007
;25375;25258;50.09;;25258;6011
;25834;26153;48.61;;26153;6006
;27491;27234;52.47;;27234;6004
;27620;27430;55.23;;27430;6007
;27596;27140;55.27;;27140;5879
;27700;27189;49.43;;27189;6010
;26508;26148;50.33;;26148;6016
;25097;24512;49.82;;24512;6008
;24838;23263;55.15;;23263;5134
;26336;22847;56.95;;22847;5341
;25926;25570;45.83;;25570;5661
;25102;25550;44.67;;25550;5660
;24457;26255;44.4;;26255;5737
;22395;25163;49.59;;25163;7100
;24237;30442;47.69;;30442;7101
;23496;25909;43.98;;25909;7101
;23116;25160;49.15;;25160;7077
;20928;19209;44.98;;19209;6052
;24165;22709;53.01;;22709;5793
;25498;25537;51.63;;25537;5958
;24544;24353;47.07;;24353;6852
;25452;24304;47.41;;24304;6761
;23520;24658;44.87;;24658;5975
;23193;25156;45.82;;25156;5036
;24533;25730;49.76;;25730;6145
;27615;25893;56.46;;25893;5884
;28307;27554;48.24;;27554;5699
;27270;26763;46.62;;26763;5924
;24850;25511;47.65;;25511;5908
;25406;25445;46.2;;25445;5911
;27587;27153;47.37;;27153;5900
;27787;26544;49.6;;26544;5905
;26772;25175;48.09;;25175;5905
;26385;25200;45.33;;25200;5912
;25478;22343;53.62;;22343;5917
;23662;22122;49.28;;22122;5716
;23835;22833;48.36;;22833;5934
;24995;24051;44.89;;24051;5938
;25548;24068;50.71;;24068;5946
;26111;23994;58.57;;23994;5928
;26947;24004;49.67;;24004;5902
;26567;24094;51.06;;24094;5902
;24931;22794;50.59;;22794;5997
;24608;22804;45.62;;22804;6316
;22827;23336;48.9;;23336;7105
;24126;33297;54.78;;33297;7106
;23546;23069;51.37;;23069;7107
;22908;21872;50.77;;21872;6495
;21098;22195;57.23;;22195;6049
;24491;23707;42.78;;23707;6003
;24635;23693;47.08;;23693;5504
;25821;27347;45.55;;27347;6862
;25326;22746;48.86;;22746;6738
;21290;22714;41.33;;22714;5983
;23422;25060;42.17;;25060;5003
;24470;28646;48.47;;28646;6856
;22268;22457;47.16;;22457;6904
;22274;22588;47.11;;22588;6889
;23431;22111;49.96;;22111;6877
;23547;20239;48.34;;20239;6865
;24778;20931;45.24;;20931;6852
;25177;21948;44.7;;21948;6854
;25129;23540;48.63;;23540;6878
;23611;24314;44.37;;24314;6875
;23801;21923;45.17;;21923;6876
;25605;24781;48.56;;24781;6846
;25700;24766;48.44;;24766;6828
;25940;24524;49.61;;24524;6845
;25727;23403;54.44;;23403;6846
;25557;23605;55.89;;23605;6844
;23819;23594;55.13;;23594;6854
;23456;23051;51.34;;23051;6852
;24630;22473;59.01;;22473;6848
;23991;22982;55.42;;22982;6857
;24004;22041;45.55;;22041;6844
;23045;27931;47.19;;27931;7107
;24594;28138;44.42;;28138;7111
;23287;21863;56.46;;21863;7100
;21069;22426;45.2;;22426;6633
;23014;22152;54.54;;22152;6041
;24966;23045;46.2;;23045;6030
;22969;22178;43.04;;22178;5557
;24825;25033;52.05;;25033;6901
;24399;21138;48.13;;21138;6811
;21669;22289;41.07;;22289;5984
;23704;25795;43.95;;25795;5027
;23679;29065;47.67;;29065;6881
;24607;23517;53.88;;23517;6840
;24984;22871;48.79;;22871;6821
;24285;22719;43.58;;22719;6833
;23103;22736;53.08;;22736;6843
;21273;20469;54.55;;20469;6847
;21722;20509;46.25;;20509;6845
;23532;22416;55.57;;22416;6828
;23881;23686;58.55;;23686;6830
;23826;22868;57.26;;22868;6821
;23747;23736;47.55;;23736;6784
;23587;22996;56.06;;22996;5985
;21818;21319;54.95;;21319;5981
;22057;21838;51.18;;21838;5970
;23835;23633;50.19;;23633;5851
;23949;23425;57.41;;23425;5968
;23979;23010;56.76;;23010;5967
;23882;23572;57.1;;23572;5966
;23503;21386;59.42;;21386;5958
;24973;27814;51.59;;27814;7104
;24873;29435;51.69;;29435;7111
;23323;21334;59.69;;21334;7099
;21424;23617;55.41;;23617;6678
;23427;21892;59.53;;21892;6040
;24445;22017;51.08;;22017;6026
;23542;24645;52.32;;24645;5818
;23672;26343;56.76;;26343;6887
;21846;23679;58.01;;23679;6844
;23300;22496;67.64;;22496;5975
;23863;26534;66.21;;26534;5033
;23273;33319;61.55;;33319;7076
;21482;23236;59.77;;23236;5953
;22237;21446;64.87;;21446;5932
;21017;22017;55.48;;22017;5923
;21557;26540;33.83;;26540;5911
;23267;24097;52.61;;24097;5916
;23178;24773;51.51;;24773;5892
;22716;22226;64.78;;22226;5889
;22873;24402;51.65;;24402;5903
;22836;23721;53.18;;23721;5903
;20675;20757;53.86;;20757;5908
;21025;20948;55.36;;20948;5910
;22940;20183;54.05;;20183;5901
;23197;21527;56.21;;21527;5655
;23012;22504;52.98;;22504;5652
;23253;21186;56.43;;21186;5668
;22520;22621;50.07;;22621;5020
;20469;23416;51.25;;23416;5312
;21119;23979;46.46;;23979;5797
;23447;24438;51.46;;24438;5045
;26220;31773;55.77;;31773;7103
;26366;27176;49.32;;27176;7109
;24093;22132;55.36;;22132;7095
;23613;23006;60.08;;23006;5919
;24393;25255;47.35;;25255;6028
;24313;22836;50.11;;22836;5998
;26726;25176;55.44;;25176;5903
;24693;26669;55.61;;26669;6911
;22773;22916;57.77;;22916;6864
;24297;24352;55.36;;24352;5962
;24919;27508;61.96;;27508;5037
;23953;29421;57.92;;29421;7070
;22666;28119;47.19;;28119;5050
;25039;29506;51.44;;29506;5049
;25234;26538;57.09;;26538;5050
;25601;25447;63.18;;25447;5052
;25399;25753;65.52;;25753;5050
;25470;27226;61.62;;27226;5051
;23408;23907;61.62;;23907;5049
;23266;22876;65.46;;22876;5047
;25297;24237;64.65;;24237;5051
;25948;24542;56.96;;24542;5046
;25660;29058;51.82;;29058;5049
;25661;24479;55.72;;24479;5045
;25487;25885;57.05;;25885;5044
;23429;26004;56.58;;26004;5041
;23403;24193;55.78;;24193;5048
;25852;25354;71.44;;25354;5050
;25769;25521;64.13;;25521;5053
;25856;27536;60.02;;27536;5046
;26180;26090;65.74;;26090;7107
;24497;30237;63.69;;30237;7109
;22094;25644;60.38;;25644;7082
;23765;23614;63.54;;23614;6072
;24144;25855;71.75;;25855;6021
;24489;25867;82.15;;25867;5906
;27896;25934;67.08;;25934;5895
;24672;24157;64.13;;24157;6900
;24811;23945;65.23;;23945;6829
;24017;23715;59.89;;23715;5954
;22990;24704;23.32;;24704;5043
;26029;29821;55.23;;29821;7090
;26625;28398;68.06;;28398;7094
;26656;34185;52.22;;34185;7086
;26489;34303;48.74;;34303;7067
;26275;29468;55.85;;29468;7084
;24847;27898;58.05;;27898;7089
;24809;26434;55.68;;26434;7090
;26839;33106;53.2;;33106;7084
;26699;29238;56.52;;29238;7097
;26747;29612;58.26;;29612;7096
;26197;27159;57.48;;27159;7100
;25305;26293;50.69;;26293;7095
;23559;23392;52.7;;23392;7098
;22630;20745;67.5;;20745;7099
;21301;26002;46.95;;26002;7101
;23257;32124;29.03;;32124;7096
;23836;29542;41.57;;29542;7102
;23300;27724;49.15;;27724;7091
;23288;29035;31.71;;29035;7099
;22207;23489;30.32;;23489;7101
;22009;27242;19.02;;27242;7057
;26180;24465;23.58;;24465;7112
;26848;30225;17.25;;30225;7105
;22892;23726;17.22;;23726;6075
;22300;22353;23.57;;22353;5066
;23802;22734;57.79;;22734;4057
;24090;22903;25.47;;22903;5999
;26978;25797;62.36;;25797;6959
;26500;25071;58.13;;25071;6970
;22667;24472;55.01;;24472;7009
;24649;22525;40.84;;22525;6051
;25652;25561;53.68;;25561;5039
;27207;26559;52.59;;26559;6079
;25579;26370;49.7;;26370;6734
;24897;24222;57.73;;24222;7095
;26989;30283;45.15;;30283;7084
;26633;32561;44.35;;32561;7102
;26561;26162;55.84;;26162;7098
;26600;24808;54.72;;24808;7104
;26467;26337;52.78;;26337;7102
;24156;29616;37.33;;29616;7104
;23756;24333;49.13;;24333;7104
;25849;25249;56.68;;25249;7104
;25915;25260;62.99;;25260;7101
;25937;24304;59.49;;24304;7103
;26300;28240;45.02;;28240;7101
;26780;26872;44.44;;26872;7104
;24950;23221;56.89;;23221;7108
;24375;22200;50.67;;22200;7107
;25912;24583;47.92;;24583;7109
;26165;24905;59.01;;24905;7111
;20818;28546;61.38;;28546;7086
;26773;26465;46.44;;26465;7110
;26702;35263;58.68;;35263;7109
;22139;28888;50.11;;28888;6059
;21328;21859;54.21;;21859;5064
;23866;22474;50.18;;22474;4059
;23870;22395;49.44;;22395;5997
;27869;27366;60.38;;27366;6984
;24723;23156;63.12;;23156;6954
;24456;26656;51.58;;26656;7035
;22707;24784;52.77;;24784;6040
;23813;26091;47.82;;26091;5039
;27117;26927;52.71;;26927;7102
;27393;32995;44.86;;32995;7110
;27002;30813;46.43;;30813;7112
;26718;26258;63.28;;26258;7116
;26333;25448;64.01;;25448;7114
;24584;24192;52.44;;24192;6484
;24306;23238;53.65;;23238;6085
;26252;26590;51.13;;26590;6080
;25994;28858;43.31;;28858;6078
;26612;26303;48.15;;26303;6054
;26921;27085;51.79;;27085;6076
;27063;25430;64.08;;25430;6073
;25198;24266;65.03;;24266;6210
;24389;27581;52.77;;27581;6874
;26817;31337;58.73;;31337;7087
;27002;29816;64.33;;29816;7104
;24559;29724;50.8;;29724;7085
;27488;26703;42.16;;26703;7110
;26625;33476;47.99;;33476;6077
;23267;27462;52.6;;27462;6049
;24222;23882;45;;23882;5061
;21731;21962;43.95;;21962;4457
;26265;24601;45.5;;24601;6001
;28761;28281;46.91;;28281;6972
;24941;23822;44.63;;23822;6958
;24398;25018;39.59;;25018;7026
;23528;24385;16.61;;24385;6039
;23349;26233;19.16;;26233;5233
;25509;26450;46.57;;26450;6072
;25480;27908;47.8;;27908;6075
;25726;34398;20.14;;34398;6072
;25497;28331;45.47;;28331;6075
;25634;31525;44.97;;31525;6072
;24055;27931;53.16;;27931;6079
;23947;29445;49.5;;29445;6076
;26130;32692;41.52;;32692;6077
;26844;31347;45.74;;31347;6077
;26709;30088;57.29;;30088;6075
;26379;31658;48.41;;31658;6075
;26630;33269;31.64;;33269;5718
;24663;28338;52.09;;28338;5422
;23699;26764;47.15;;26764;6082
;24729;26148;44.72;;26148;6081
;24390;29260;40.19;;29260;6074
;22967;27884;34.85;;27884;6074
;22035;29399;13.59;;29399;6075
;21716;30207;11.57;;30207;6076
;23610;30379;38.07;;30379;7086
;23811;24286;28.51;;24286;7115
;22851;27453;23.88;;27453;6084
;23961;31767;27.81;;31767;6040
;23354;26827;52.85;;26827;5062
;20911;21420;35.99;;21420;4645
;25371;23375;41.8;;23375;6005
;27114;25997;40.65;;25997;6966
;25434;25222;47.42;;25222;6966
;23530;22315;35.29;;22315;7033
;21437;20348;40.74;;20348;6028
;23886;22191;37.87;;22191;5541
;24404;24741;57.32;;24741;5054
;24095;21950;57.85;;21950;5052
;21926;27241;41.58;;27241;5050
;21864;24612;43.28;;24612;5045
;23545;24067;49.39;;24067;5050
;23497;23144;59.04;;23144;5054
;23088;25458;52.62;;25458;5054
;22958;27300;42.26;;27300;5058
;22547;24537;43.07;;24537;5059
;20976;21478;49.54;;21478;5058
;21021;20883;53.1;;20883;5059
;22421;20706;48.42;;20706;5059
;22970;20271;52.09;;20271;5062
;23040;26330;41.41;;26330;5057
;23130;22048;54.71;;22048;5056
;22710;21305;45.98;;21305;5061
;20783;21566;42.43;;21566;5063
;20684;24065;31.31;;24065;5063
;23584;30396;43.83;;30396;7094
;23959;23748;41.06;;23748;7114
;22647;29041;42.65;;29041;6080
;23642;23884;39.02;;23884;6035
;23079;23482;44.72;;23482;5060
;22976;21921;51.35;;21921;4229
;25306;25914;61.13;;25914;5999
;25326;24687;62.61;;24687;6382
;25526;25115;58.53;;25115;6968
;23506;22300;46.87;;22300;7014
;21325;25677;65.16;;25677;6017
;23847;23974;64.32;;23974;5731
;21073;25459;43.25;;25459;4930
;21257;21615;55.35;;21615;5536
;23214;23690;49.67;;23690;5902
;23435;24639;46.72;;24639;5982
;23598;24294;52.15;;24294;5991
;23355;22452;57.17;;22452;6010
;23001;23110;66.32;;23110;5064
;21121;21786;67.38;;21786;5059
;21208;22205;66.24;;22205;5059
;22718;22431;69.7;;22431;5055
;23270;23225;68.58;;23225;5053
;23418;22937;70.42;;22937;5051
;23648;24391;69.04;;24391;5051
;22838;22740;66.92;;22740;5055
;20801;20047;69.34;;20047;5059
;20976;20818;57.81;;20818;4055
;22880;21838;69.84;;21838;4051
;22801;22599;68.07;;22599;4057
;22482;22623;62.52;;22623;4056
;22281;22679;68.9;;22679;7060
;25988;28679;64.56;;28679;7111
;24795;32110;68.16;;32110;6078
;23930;32263;55.44;;32263;6022
;20934;20911;56.08;;20911;5055
;23231;21885;62.87;;21885;4056
;25277;23399;63.93;;23399;6002
;25303;24220;65.44;;24220;6344
;25110;24562;65.26;;24562;6985
;22997;22982;58.64;;22982;7015
;23505;30631;57.76;;30631;6016
;23741;23867;57.56;;23867;6038
;23778;24010;55.36;;24010;5054
;23886;23893;60;;23893;5053
;23831;22135;60.27;;22135;5048
;23717;22882;56.75;;22882;5051
;21862;22061;49.68;;22061;5047
;22081;22363;57.61;;22363;5037
;24349;24347;48.68;;24347;5043
;24736;23931;63.62;;23931;5043
;25212;22892;63.66;;22892;5044
;25441;23934;62.21;;23934;5039
;25263;23301;55.33;;23301;5029
;23256;22902;64.18;;22902;5029
;23529;21699;60.94;;21699;5022
;25532;22888;63.65;;22888;5032
;25535;23226;64.55;;23226;5916
;25704;23702;63.56;;23702;5946
;25301;23847;63.89;;23847;5987
;25080;24122;64.89;;24122;5995
;22130;25039;65.85;;25039;6080
;26095;26701;57.05;;26701;7114
;24947;28783;62.11;;28783;6082
;23804;27061;63.44;;27061;6014
;21199;19347;56.41;;19347;5048
;22777;22626;60.88;;22626;4429
;25043;23046;64.82;;23046;6003
;26878;24301;59.9;;24301;6952
;24962;24572;57.68;;24572;6982
;21376;26840;57.31;;26840;6918
;24024;28636;56.97;;28636;5736
;22247;24276;61;;24276;6036
;26110;24779;61.25;;24779;5882
;25318;23977;65.98;;23977;5971
;23242;22956;65.61;;22956;5985
;23503;24545;55.24;;24545;5982
;25331;23596;60.73;;23596;6007
;25735;24373;58.25;;24373;6001
;25997;24118;65.19;;24118;6003
;25980;24316;60.31;;24316;5997
;25248;23567;61.49;;23567;6103
;22825;22014;66.37;;22014;6216
;23104;22531;60.13;;22531;6479
;25631;24458;64.09;;24458;6788
;25584;24354;63.35;;24354;5985
;25618;23678;66.72;;23678;5992
;25840;23861;66.42;;23861;5983
;25585;23408;66.68;;23408;5494
;23407;21793;66.68;;21793;5616
;23484;22501;62.72;;22501;6084
;25377;23543;67.57;;23543;6716
;23125;21700;58.53;;21700;6076
;26548;26552;58.79;;26552;7115
;24842;25178;67.37;;25178;6079
;21870;26460;69.35;;26460;6008
;23058;20590;66.74;;20590;5046
;23160;22262;66.33;;22262;5049
;23102;22585;60.13;;22585;5996
;25997;24239;64.71;;24239;6954
;24220;23128;59.75;;23128;6994
;21410;23281;58.81;;23281;7046
;24004;22851;66.02;;22851;5737
;22709;25068;68.54;;25068;6035
;23404;22032;64.23;;22032;6962
;24070;23053;60.56;;23053;6973
;23926;23786;57.77;;23786;6976
;23438;21398;65.57;;21398;6947
;23436;21482;60.15;;21482;6978
;22957;24548;54.82;;24548;6979
;22078;22498;58.12;;22498;6984
;22472;23523;58.99;;23523;6979
;24349;23215;59.47;;23215;6966
;24809;23664;64.73;;23664;6983
;24979;23337;64.5;;23337;6978
;24863;23431;63.92;;23431;6967
;24833;22495;66.06;;22495;6975
;22915;21597;67.39;;21597;6985
;23403;22230;65.39;;22230;6971
;25530;23658;63.79;;23658;6972
;25610;23543;70.48;;23543;6976
;25524;24464;63.16;;24464;6942
;25550;23758;62.73;;23758;6961
;25396;26480;63.6;;26480;6081
;26720;26868;64.37;;26868;7113
;24595;26661;71.45;;26661;6074
;21850;22531;69.43;;22531;5056
;23208;21946;71.96;;21946;5042
;22917;22632;70.06;;22632;5058
;23578;22653;62.2;;22653;5988
;25696;26086;69.22;;26086;6941
;21833;21065;76.28;;21065;6971
;22800;21874;69.19;;21874;7046
;24266;25128;67.96;;25128;5734
;21933;23760;72.61;;23760;6049
;24679;22969;72.8;;22969;6967
;24949;23671;67.02;;23671;6978
;24335;24848;72.02;;24848;6974
;22120;22180;75.56;;22180;6993
;22419;22852;69.39;;22852;6988
;24508;23676;72.66;;23676;6906
;24494;23754;76.57;;23754;6983
;24722;23928;75.16;;23928;6982
;24881;23400;72.56;;23400;6985
;24597;23275;75.51;;23275;6961
;22892;22686;74.19;;22686;6987
;23144;25936;53.61;;25936;6972
;24959;27225;55.72;;27225;7000
;24771;25820;63.77;;25820;6989
;24320;23390;67.41;;23390;6999
;24354;23660;76.67;;23660;7009
;23682;23561;66.86;;23561;7009
;21616;20629;73.64;;20629;6999
;25441;26215;56.85;;26215;6080
;26614;27080;56.48;;27080;7112
;24249;31662;61.49;;31662;6070
;23770;29697;64.96;;29697;5060
;23297;26136;67.45;;26136;5033
;21014;21269;76.62;;21269;5060
;26016;24601;57.56;;24601;5985
;24884;25076;55.54;;25076;6984
;21982;21736;63.9;;21736;6978
;22709;23240;60.92;;23240;7025
;23924;27993;53.42;;27993;5012
;22324;22894;56.1;;22894;6048
;21005;22734;58.53;;22734;6998
;20903;27526;55.78;;27526;6984
;20878;28368;40.98;;28368;7037
;22660;21674;72.27;;21674;7054
;23002;22143;72.76;;22143;7053
;23071;23343;61.29;;23343;7051
;22957;25356;54.1;;25356;7051
;22347;24755;56.79;;24755;7055
;20497;22774;55.66;;22774;7055
;20937;22747;58.81;;22747;7058
;22469;28503;55.03;;28503;7057
;22766;23853;58.17;;23853;7057
;22613;23492;62.57;;23492;7046
;22803;23107;72.28;;23107;7033
;22481;22790;64.53;;22790;7024
;20546;26011;58.28;;26011;7020
;22371;25827;53.15;;25827;6061
;24492;26600;56.43;;26600;6056
;24880;24243;63.27;;24243;6049
;26646;33642;72.07;;33642;6077
;26157;26875;58.95;;26875;7113
;23640;29838;59.6;;29838;5058
;25658;27853;69.56;;27853;5059
;24037;22008;49.88;;22008;5031
;21979;20775;50.51;;20775;5054
;27364;27100;47.85;;27100;5994
;25972;24201;65.31;;24201;6958
;24457;23329;54.49;;23329;6942
;23732;25072;48.82;;25072;7022
;22935;25403;52.36;;25403;4934
;25213;24010;54.19;;24010;6052
;24407;22862;63.57;;22862;5064
;24435;23969;57.95;;23969;5063
;24272;24782;55.58;;24782;5066
;24404;24291;59.8;;24291;5062
;24397;25181;65.1;;25181;5063
;22387;24090;56.23;;24090;5061
;22357;23674;66.35;;23674;5058
;24394;25940;62.94;;25940;5057
;25110;27292;60.23;;27292;5051
;24888;27243;60.76;;27243;5053
;25353;27558;66.66;;27558;5050
;25197;26832;65.39;;26832;5048
;23707;29066;56.2;;29066;5046
;23444;27899;53.46;;27899;5044
;25346;28498;61.75;;28498;5043
;25444;25503;55.24;;25503;5046
;25490;25276;55.36;;25276;5043
;25822;24164;58.06;;24164;5041
;27059;27582;67.05;;27582;6082
;25062;26893;53.37;;26893;7109
;23830;31316;50.93;;31316;4764
;25730;29983;62.68;;29983;5060
;24166;21682;61.32;;21682;4735
;24356;22821;57.22;;22821;5060
;26746;24990;66.46;;24990;5983
;25191;23706;54.95;;23706;6955
;24884;23959;63.22;;23959;6965
;23491;25141;59.51;;25141;7010
;22865;23309;64.42;;23309;5066
;25461;24708;59.84;;24708;6043
;25679;28292;55.19;;28292;6037
;26284;30171;55;;30171;6100
;26094;28576;64.12;;28576;6098
;24182;26187;56.25;;26187;6094
;23998;26964;54.87;;26964;6102
;25927;26195;54.5;;26195;6099
;26046;25154;54.04;;25154;5060
;25935;26344;60.65;;26344;5060
;25772;24800;58.44;;24800;5058
;24533;24741;62.44;;24741;5056
;22910;21775;67.95;;21775;5057
;22040;21170;68.66;;21170;5231
;21353;19808;70.24;;19808;5645
;20267;20752;59.61;;20752;6008
;22620;21671;70.82;;21671;6066
;23068;21474;68.61;;21474;6073
;23622;23412;60.22;;23412;6074
;22772;22874;57.69;;22874;6071
;22140;20608;60.32;;20608;6073
